county,location,deficiency_status,sufficiency_rating,bridge_id,year_built,average_daily_travel,deck_condition,superstructure_condition,substructure_condition,rating_deck_condition,rating_superstructure_condition,rating_substructure_condition
Lake,Pfingsten Rd over Canadian Pacific RR at .2 mi W of Waukegan,Structurally deficient,17%,49600300000000,1987,9450,3-Serious condition,3-Serious condition,6-Satisfactory condition,3,3,6
Cook,Western Ave over Cal Sg Chnl&RR&Brdwy at 1.5 mi N IL 83,Structurally deficient,22%,16077700000000,1966,8300,3-Serious condition,3-Serious condition,3-Serious condition,3,3,3
Cook,Broadway Av over Silver Creek at 1 S Il-64,Structurally deficient,32%,16747700000000,1949,6800,3-Serious condition,3-Serious condition,7-Good condition,3,3,7
Cook,Loomis St over S Br Chicago River at 2470 S 14 W,Structurally deficient,29%,16603300000000,1904,6600,3-Serious condition,3-Serious condition,6-Satisfactory condition,3,3,6
Kane,Jericho Road over Blackberry Creek at 3.2 mi E Rt. 47,Structurally deficient,30%,45301000000000,1933,4150,3-Serious condition,3-Serious condition,4-Poor condition,3,3,4
Cook,Barker Ave over Salt Creek at 0.4 N 62/.6 E 53 P5,Structurally deficient,37%,16605500000000,1970,3300,3-Serious condition,3-Serious condition,5-Fair condition,3,3,5
Kane,County Line Road over Union Dr ditch No. 3 at 1.5 mi N Maple Park,Structurally deficient,37%,45300000000000,1964,2150,3-Serious condition,3-Serious condition,6-Satisfactory condition,3,3,6
Kane,Rural Street over Indian Creek at 0.1 MI W Farnsworth,Structurally deficient,41%,45312700000000,1985,2000,3-Serious condition,3-Serious condition,7-Good condition,3,3,7
Will,Smith Rd over Long Run Cr. at 0.3 mi So 135th St,Structurally deficient,29%,99318000000000,1968,1800,3-Serious condition,3-Serious condition,5-Fair condition,3,3,5
Will,Macgregor Rd over Fiddyment Creek at 3 Ft N McCameron,Structurally deficient,27%,99335500000000,1960,1500,3-Serious condition,3-Serious condition,6-Satisfactory condition,3,3,6
Cook,17th Av over Silver Creek at 1 S Il-64,Structurally deficient,36%,16747600000000,1949,1100,3-Serious condition,3-Serious condition,7-Good condition,3,3,7
Will,Second Street over I&M Canal at 0.15 mi NW of IL 171,Structurally deficient,25%,99650700000000,1939,900,3-Serious condition,3-Serious condition,5-Fair condition,3,3,5
McHenry,O Brien Road over Nippersink Creek at 1.5 mi W of IL 47,Structurally deficient,33%,56311800000000,1976,550,3-Serious condition,3-Serious condition,8-Very good condition,3,3,8
Will,Danne Rd over Br. Plum Creek at 0.7 MI E Klemme Rd,Structurally deficient,37%,99317400000000,1974,500,3-Serious condition,3-Serious condition,7-Good condition,3,3,7
Cook,South Water St over E So Water St Low at Beaubien to Stetson,Structurally deficient,35%,16614600000000,1971,500,3-Serious condition,3-Serious condition,3-Serious condition,3,3,3
McHenry,Thayer Road over Nippersink Creek at 0.3 mi W of IL 47,Structurally deficient,31%,56311500000000,1975,350,3-Serious condition,3-Serious condition,8-Very good condition,3,3,8
Kane,Hinckley Road over E Branch Big Rock Cr at 0.5 MI W Big Rock,Structurally deficient,43%,45310500000000,1976,225,3-Serious condition,3-Serious condition,6-Satisfactory condition,3,3,6
Cook,Gladstone St over Addison Cr at 0.5 MI E of US 45,Structurally deficient,39%,16816500000000,1930,200,3-Serious condition,3-Serious condition,5-Fair condition,3,3,5
Cook,Woodlawn Ave over Little Cal Riv at 0.75 mi N US 6 P21,Structurally deficient,29%,16804500000000,1958,200,3-Serious condition,3-Serious condition,4-Poor condition,3,3,4
Kane,Montgomery Road over Waubonsie Creek at 0.3 mi NW US Rte 34,Structurally deficient,40%,45601500000000,1977,100,3-Serious condition,3-Serious condition,6-Satisfactory condition,3,3,6
Will,Rowell Rd over Jackson Cr at 0.6 mi N.Manhattan-E,Structurally deficient,29%,99316000000000,1900,75,3-Serious condition,3-Serious condition,5-Fair condition,3,3,5
Cook,IL 53 NB over Kirchoff Rd at 0.5 mi S Euclid,Structurally deficient,81%,16037600000000,1963,147600,4-Poor condition,5-Fair condition,7-Good condition,4,5,7
Cook,IL 53 SB over Kirchoff Rd at 1.7 mi N I-90,Structurally deficient,81%,16112100000000,1963,147600,4-Poor condition,5-Fair condition,7-Good condition,4,5,7
Cook,Lake Shore Drive over Main Br Chicago Riv at 402 N & 520 E,Structurally deficient,62%,16603000000000,1937,124500,4-Poor condition,5-Fair condition,6-Satisfactory condition,4,5,6
Will,I- 55 over Joliet Rd at 2 mi E of IL 53,Structurally deficient,79%,99002800000000,1955,105700,4-Poor condition,5-Fair condition,7-Good condition,4,5,7
Cook,US 12 20 45 NB over Santa Fe Dr Et Al at 0.5 mi S I-55,Structurally deficient,66%,16246700000000,1975,66500,4-Poor condition,6-Satisfactory condition,5-Fair condition,4,6,5
Cook,I- 55 WB Elevated over ML King Dr Rmp Etc at 1.3 mi E I-94,Structurally deficient,47%,16105500000000,1965,61700,4-Poor condition,5-Fair condition,3-Serious condition,4,5,3
Cook,I- 55 EB Stevenson over ML King Dr Ramp Etc at 1.3 mi E I94,Structurally deficient,47%,16003600000000,1965,61700,4-Poor condition,5-Fair condition,3-Serious condition,4,5,3
Kane,US 20 By Pass over Fox River at 0.3 mi W IL 25,Structurally deficient,64%,45000400000000,1960,43100,4-Poor condition,5-Fair condition,7-Good condition,4,5,7
Kane,US 20 over St Charles St at 1 Block W of IL 25,Structurally deficient,60%,45000600000000,1960,43100,4-Poor condition,5-Fair condition,7-Good condition,4,5,7
Cook,I- 55 EB to US 41 over US 41 Lake Shore Dr at 1.6 mi E I-94,Structurally deficient,73%,16107500000000,1965,42250,4-Poor condition,5-Fair condition,5-Fair condition,4,5,5
Cook,US 41 SB to I-55 W over RR - IC Metra Parkng at 1.6 mi E I-94,Structurally deficient,48%,16105200000000,1965,42250,4-Poor condition,6-Satisfactory condition,3-Serious condition,4,6,3
Cook,Il 171 NB First Av over RR - Cn at 0.3 M SE I-55,Structurally deficient,52%,16048900000000,1963,42200,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,Il 171 NB First Av over S&S Canal at 0.2 M SE I-55,Structurally deficient,50%,16048700000000,1963,42200,4-Poor condition,5-Fair condition,5-Fair condition,4,5,5
Cook,Il 171 NB First Av over I- 55 Stevenson at 1.4 M SW IL 43,Structurally deficient,49%,16048500000000,1964,42200,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Will,I- 80 WB over Center St SB at 1.3 mi E of Il-7,Structurally deficient,86%,99005300000000,1965,41150,4-Poor condition,6-Satisfactory condition,6-Satisfactory condition,4,6,6
Will,I- 80 EB over Center St SB at 1.3 mi E of Il-7,Structurally deficient,74%,99005200000000,1965,41150,4-Poor condition,5-Fair condition,6-Satisfactory condition,4,5,6
Cook,Il 43 SB Harlem A over San & Ship Canal at 0.1 mi N I-55,Structurally deficient,38%,16099100000000,1966,39800,4-Poor condition,4-Poor condition,4-Poor condition,4,4,4
Cook,Il 171 NB over Des Plaines River at 0.2 M NW I-55,Structurally deficient,53%,16098500000000,1964,38600,4-Poor condition,5-Fair condition,5-Fair condition,4,5,5
Cook,Il 171 NB Elevated over Sta 53&15 to 63&18 at 0.5 M SE Joliet Rd,Structurally deficient,37%,16245600000000,1964,38600,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Lake,Il 120 EB over Des Plaines River at 2.6 mi W of US 41,Structurally deficient,71%,49004600000000,1959,36900,4-Poor condition,5-Fair condition,6-Satisfactory condition,4,5,6
Lake,Il 120 WB over Des Plaines River at 2.5 mi W of US 41,Structurally deficient,52%,49004700000000,1959,36900,4-Poor condition,5-Fair condition,6-Satisfactory condition,4,5,6
Cook,Il 43 (Harlem Ave over US 12 20 (95th St) at 0.6 mi N I-294,Structurally deficient,64%,16032000000000,1961,36100,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,Cermak Rd (22nd St over 25th Ave at 1 mi E US 45,Structurally deficient,79%,16063200000000,1961,35300,4-Poor condition,7-Good condition,7-Good condition,4,7,7
Cook,Cermak Rd (22nd St over Addison Creek at 1.4 mi E US 45,Structurally deficient,69%,16063300000000,1959,35300,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,I-90 Skyway over Kingston Ave at 89th P8C,Structurally deficient,81%,16630800000000,1958,34000,4-Poor condition,6-Satisfactory condition,6-Satisfactory condition,4,6,6
Cook,Cermak Rd (22nd St over RR - Ihb & Gardner at 0.8 mi E US 45,Structurally deficient,68%,16063100000000,1961,32700,4-Poor condition,6-Satisfactory condition,5-Fair condition,4,6,5
Lake,Il 120 EB over RR - Cp at 0.75 mi W of US 41,Structurally deficient,67%,49004800000000,1960,32700,4-Poor condition,5-Fair condition,6-Satisfactory condition,4,5,6
Lake,Il 120 WB over RR - Cp at 0.75 mi W of US 41,Structurally deficient,67%,49004900000000,1960,32700,4-Poor condition,5-Fair condition,6-Satisfactory condition,4,5,6
Will,I- 80 WB over Abandoned RR at 1 mi W of IL 7,Structurally deficient,76%,99004900000000,1964,32600,4-Poor condition,6-Satisfactory condition,6-Satisfactory condition,4,6,6
Will,I- 80 EB over Abandoned RR at 1 mi W IL 7,Structurally deficient,65%,99004800000000,1964,32600,4-Poor condition,6-Satisfactory condition,5-Fair condition,4,6,5
Cook,Willow Rd over RR - Metra at 1 mi W IL 43,Structurally deficient,70%,16053300000000,1942,32200,4-Poor condition,6-Satisfactory condition,7-Good condition,4,6,7
Cook,US 6 (159th St) over Midlothian Creek at 0.03 mi W of IL 50,Structurally deficient,54%,16284300000000,1925,31700,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,Rand Rd over Des Plaines River at 0.5 mi NW Dempster Rd,Structurally deficient,26%,16036200000000,1928,29900,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,Oakton St over I- 94 Edens at 3 mi N US 14,Structurally deficient,58%,16082700000000,1950,28100,4-Poor condition,5-Fair condition,5-Fair condition,4,5,5
Lake,Washington St over RR - Up at 0.1 mi E of US 41,Structurally deficient,67%,49009700000000,1961,27900,4-Poor condition,6-Satisfactory condition,7-Good condition,4,6,7
Lake,Il 120 over RR - Up & Old Skokie at Gurnee,Structurally deficient,84%,49005100000000,1959,27700,4-Poor condition,5-Fair condition,6-Satisfactory condition,4,5,6
Cook,Il 171 (Archer Ave over RR - CSXt Spur Argo at 0.1 mi S of 63rd St,Structurally deficient,34%,16254400000000,1987,26300,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,Touhy Ave over N Br Chicago River at 0.6 mi E IL 43,Structurally deficient,31%,16036300000000,1925,25800,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Kane,Kirk Road over Union Pacific R.R. at 1 mi E Geneva,Structurally deficient,66%,45309600000000,1974,25500,4-Poor condition,6-Satisfactory condition,6-Satisfactory condition,4,6,6
DuPage,IL 53 over Great Northern Trail at 0.8 mi S of IL 64,Structurally deficient,51%,22007600000000,1936,23900,4-Poor condition,5-Fair condition,6-Satisfactory condition,4,5,6
Cook,I-290 EB to I90 94 over I- 90 94 at 0.5 mi E Racine Ave,Structurally deficient,38%,16245300000000,1960,23100,4-Poor condition,5-Fair condition,4-Poor condition,4,5,4
Will,Essington Rd over Rock Run Creek at 1.7 N. US 52-1W I-55,Structurally deficient,61%,99312800000000,1900,22800,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,US 6 (159th St) over I- 57 at 1.6 M SW I-294,Structurally deficient,65%,16101300000000,1968,20900,4-Poor condition,4-Poor condition,5-Fair condition,4,4,5
Cook,Canal St over Lower Lev Canal St at 5W-6S to 10S,Structurally deficient,61%,16626100000000,1926,20900,4-Poor condition,4-Poor condition,4-Poor condition,4,4,4
Cook,Columbus Dr over Main Br Chicago Riv. at 347 N & 301 E,Structurally deficient,81%,16610100000000,1982,20600,4-Poor condition,5-Fair condition,5-Fair condition,4,5,5
Cook,I- 55 EB Rmp US 41 over RR - Cn Metra&Parkng at 1.5 mi E I-94,Structurally deficient,43%,16104500000000,1965,20600,4-Poor condition,6-Satisfactory condition,3-Serious condition,4,6,3
Lake,Il 120 EB over Greenleaf Ave at 1.1 mi E of I-94,Structurally deficient,95%,49012600000000,1977,19600,4-Poor condition,7-Good condition,6-Satisfactory condition,4,7,6
Lake,Il 120 WB over Greenleaf Ave at 1.1 mi E of I-94,Structurally deficient,90%,49012500000000,1977,19600,4-Poor condition,7-Good condition,6-Satisfactory condition,4,7,6
Lake,Il 120 over US 41 at Gurnee,Structurally deficient,78%,49005000000000,1959,19600,4-Poor condition,5-Fair condition,6-Satisfactory condition,4,5,6
Cook,Lasalle St. over UP RR & Parking Area at 140 W. and 330 N.,Structurally deficient,76%,16611900000000,1928,19500,4-Poor condition,5-Fair condition,5-Fair condition,4,5,5
Cook,N Lasalle St over Main Br Chicago Riv at 307 N Lasalle St.,Structurally deficient,14%,16603200000000,1928,19500,4-Poor condition,3-Serious condition,5-Fair condition,4,3,5
Cook,Chicago Ave over N Br Chicago River at 622 W Chgo Ave P5C,Structurally deficient,4%,16600800000000,1914,18500,4-Poor condition,3-Serious condition,4-Poor condition,4,3,4
Lake,Deerfield Rd over Berkeley Ave at Highland Park,Structurally deficient,64%,49007200000000,1961,18200,4-Poor condition,5-Fair condition,4-Poor condition,4,5,4
Cook,St Charles Rd over I-290 at 1.1 mi S IL 64,Structurally deficient,94%,16113600000000,1960,18000,4-Poor condition,6-Satisfactory condition,6-Satisfactory condition,4,6,6
DuPage,Geneva Road over W.Branch Du Page Rv. at 0.1 MI W Winfield Rd,Structurally deficient,63%,22300100000000,1941,16900,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Will,80th Ave over I- 80 at 1.0 mi W of Il-43,Structurally deficient,81%,99020600000000,1967,16100,4-Poor condition,6-Satisfactory condition,7-Good condition,4,6,7
Cook,18th St over RR Tracks at 18S.& 3W.To 2W,Structurally deficient,61%,16611600000000,1967,13800,4-Poor condition,5-Fair condition,5-Fair condition,4,5,5
Cook,18th St over S Br Chicago River at 301 W 18th St,Structurally deficient,46%,16601700000000,1967,13800,4-Poor condition,4-Poor condition,5-Fair condition,4,4,5
Cook,Washington Blvd over Addison Cr at 0.7 mi E US 45 P20,Structurally deficient,49%,16064600000000,1931,13600,4-Poor condition,4-Poor condition,5-Fair condition,4,4,5
Will,Bell Rd over Long Run Creek at 0.3 mi S Cook Co Lin,Structurally deficient,86%,99306400000000,1962,13500,4-Poor condition,7-Good condition,6-Satisfactory condition,4,7,6
Will,Canton Farm Road over Dupage River at 0.6 MI E.Ill.Rt.59,Structurally deficient,23%,99332300000000,1982,13350,4-Poor condition,4-Poor condition,4-Poor condition,4,4,4
Kane,Il 31 over Ferson Creek at 1.1 mi N of IL 64,Structurally deficient,49%,45001900000000,1916,12400,4-Poor condition,4-Poor condition,5-Fair condition,4,4,5
Will,Il 171 over Long Run Creek at IL 171 S of Cook Co,Structurally deficient,35%,99008000000000,1926,11900,4-Poor condition,4-Poor condition,5-Fair condition,4,4,5
Cook,Joliet Rd over Flag Creek at 0.8 M NE Dupage Co,Structurally deficient,85%,16039300000000,1959,11750,4-Poor condition,6-Satisfactory condition,5-Fair condition,4,6,5
Cook,Foster Ave over I- 90 Jfk & Cta at 1.5 mi NW IL 50,Structurally deficient,60%,16110000000000,1958,11500,4-Poor condition,5-Fair condition,6-Satisfactory condition,4,5,6
Cook,1Th St over Calumet River at 33 E 1Th Street,Structurally deficient,47%,16604200000000,1927,11500,4-Poor condition,4-Poor condition,4-Poor condition,4,4,4
DuPage,Warrenville Rd over W.Br.of Dupage River at 0.2M W of Winfield R,Structurally deficient,9%,22304300000000,1984,11500,4-Poor condition,4-Poor condition,5-Fair condition,4,4,5
Cook,Adams Street over Union Station Trks at Chgo Riv to Canal St,Structurally deficient,47%,16626000000000,1924,11400,4-Poor condition,4-Poor condition,4-Poor condition,4,4,4
Cook,Sacramento Blvd over I-290 Ike & Cta at 1.4 mi W US 34,Structurally deficient,61%,16075400000000,1953,11300,4-Poor condition,6-Satisfactory condition,5-Fair condition,4,6,5
Will,Briggs St over I- 80 at 3.0 M SW of US-30,Structurally deficient,19%,99021600000000,1965,11050,4-Poor condition,2-Critical condition,5-Fair condition,4,2,5
Cook,Wacker Dr E over Lower Wacker Dr at 340N.& 154E.To 358E,Structurally deficient,82%,16614500000000,1975,11000,4-Poor condition,5-Fair condition,5-Fair condition,4,5,5
Cook,Old Orchard Rd over I- 94 Edens at 1.5 mi N IL 58,Structurally deficient,83%,16082300000000,1950,10900,4-Poor condition,5-Fair condition,5-Fair condition,4,5,5
Cook,Oakwood Blvd over Metra Elec & Cn at 39 S & 950 E,Structurally deficient,20%,16617400000000,1921,10800,4-Poor condition,5-Fair condition,3-Serious condition,4,5,3
Cook,Canal Street over Union Station Tracks at 5 W & 3 to 6 S,Structurally deficient,63%,16651400000000,1926,10400,4-Poor condition,5-Fair condition,5-Fair condition,4,5,5
Cook,Canal Street over Union Station Tracks at 5 W & 1-2 S,Structurally deficient,47%,16651600000000,1926,10400,4-Poor condition,4-Poor condition,4-Poor condition,4,4,4
Cook,Sauk Trail over I- 57 at 1.6 mi S US 30,Structurally deficient,60%,16057500000000,1966,10300,4-Poor condition,6-Satisfactory condition,5-Fair condition,4,6,5
Kane,Il 31 over US 20 By Pass at 3 mi S of I-90,Structurally deficient,62%,45001700000000,1959,9850,4-Poor condition,5-Fair condition,7-Good condition,4,5,7
Cook,Villa St over Willow Creek at .05 E Kaneco Line,Structurally deficient,48%,16252300000000,1922,9650,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,US 41 NB to I-55 W over US 41 Lake Shore Dr at 1.6 mi E I-94,Structurally deficient,47%,16104800000000,1963,9350,4-Poor condition,5-Fair condition,3-Serious condition,4,5,3
Will,Il 1 over Deer Creek at 0.8 mi S of Cook Co,Structurally deficient,44%,99007600000000,1928,9300,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,Winnetka Rd over Skokie River at 0.3 mi E I-94,Structurally deficient,41%,16116200000000,1935,8950,4-Poor condition,4-Poor condition,5-Fair condition,4,4,5
Kane,Bliss Road over Blackberry Creek at 1.0 mi N Sugar Grove,Structurally deficient,43%,45300600000000,1931,8850,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,Indiana Ave over Little Calumet River at 135 S. Indiana Ave,Structurally deficient,26%,16608100000000,1915,8750,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Will,Gougar Rd over I- 80 at 4.0 mi E of US-52,Structurally deficient,49%,99020300000000,1965,8550,4-Poor condition,4-Poor condition,5-Fair condition,4,4,5
Will,Center St over US 52 at US 52 west of US 6,Structurally deficient,66%,99018600000000,1965,8400,4-Poor condition,5-Fair condition,6-Satisfactory condition,4,5,6
Kane,Il 38 over RR - Up at 2.9 mi W of IL 47,Structurally deficient,51%,45000900000000,1964,8000,4-Poor condition,4-Poor condition,5-Fair condition,4,4,5
Cook,9th Ave. over Silver Creek at 0.2M.S.of Il-64,Structurally deficient,45%,16747500000000,1955,7700,4-Poor condition,4-Poor condition,4-Poor condition,4,4,4
Cook,Palatine WB Frnt R over Des Plaines River at E US 45 (Milwaukee),Structurally deficient,64%,16027200000000,1925,7500,4-Poor condition,5-Fair condition,5-Fair condition,4,5,5
Cook,5th Ave over I-290 Ike at 1.7 mi W IL 43,Structurally deficient,61%,16069200000000,1951,7250,4-Poor condition,5-Fair condition,5-Fair condition,4,5,5
McHenry,Bay Road over Lily Lake Drain at 1.0 mi SE of Chapelh,Structurally deficient,67%,56310600000000,1968,6950,4-Poor condition,4-Poor condition,7-Good condition,4,4,7
Will,Richard St over Hickory Creek at 0.1 mi N of I-80,Structurally deficient,82%,99012300000000,1967,6850,4-Poor condition,5-Fair condition,6-Satisfactory condition,4,5,6
Cook,I- 80 EB to I-294 over I-294 at 2.3 mi W of Il-1,Structurally deficient,72%,16213200000000,1968,6800,4-Poor condition,5-Fair condition,5-Fair condition,4,5,5
Cook,Central Rd over W Br Salt Creek at 0.15 E Ill 53 P5 18,Structurally deficient,90%,16606100000000,1960,6300,4-Poor condition,6-Satisfactory condition,6-Satisfactory condition,4,6,6
Cook,Central Park Ave over I-290 Ike & Cta at 2.2 mi W US 34,Structurally deficient,72%,16207200000000,1953,6000,4-Poor condition,6-Satisfactory condition,6-Satisfactory condition,4,6,6
Cook,Chicago Heights Rd over Thorn Creek at 1.5 miles NE of Il-1,Structurally deficient,64%,16241700000000,1982,5900,4-Poor condition,4-Poor condition,5-Fair condition,4,4,5
Kane,Coombs Road over Ic&Err at I N.Highland Rd,Structurally deficient,30%,45312400000000,1984,5600,4-Poor condition,4-Poor condition,7-Good condition,4,4,7
Cook,Shermer Rd over W F N Br Chicago Riv at 0.3 M SW Ill 43 P14,Structurally deficient,50%,16081200000000,1923,5550,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Lake,Rockland Rd over Desplaines River at 1.5 MI W I-94,Structurally deficient,49%,49304800000000,1990,5300,4-Poor condition,4-Poor condition,7-Good condition,4,4,7
Cook,Palatine EB Frnt R over Des Plaines River at E US 45 (Milwaukee),Structurally deficient,63%,16027300000000,1965,5100,4-Poor condition,5-Fair condition,6-Satisfactory condition,4,5,6
Cook,Happ Rd over Skokie River at 0.5 S Winnetka R P12,Structurally deficient,39%,16305000000000,1924,4700,4-Poor condition,4-Poor condition,4-Poor condition,4,4,4
Cook,Lasalle Street over Trolley Car Tunnel at S. of Chicago River,Structurally deficient,78%,16617500000000,1911,4050,4-Poor condition,6-Satisfactory condition,6-Satisfactory condition,4,6,6
Kane,Hankes Rd over IL 56 at 2.5 M NE of IL 47,Structurally deficient,56%,45008100000000,1963,4000,4-Poor condition,5-Fair condition,8-Very good condition,4,5,8
Will,Wilmingtonpeotone over Forked Creek W Br at 1.2 mi W Cedar Rd,Structurally deficient,67%,99332700000000,1985,3950,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Will,Center St NB over I- 80 WB to Centersb at 1 mi W Il53-.08 N I80,Structurally deficient,75%,99018700000000,1967,3800,4-Poor condition,5-Fair condition,6-Satisfactory condition,4,5,6
Will,Center St NB over I- 80 at 1.0 mi W of Il-53,Structurally deficient,71%,99018800000000,1965,3800,4-Poor condition,5-Fair condition,7-Good condition,4,5,7
Will,Francis Rd over I- 80 at 0.5 mi N of US-30,Structurally deficient,17%,99020500000000,1965,3500,4-Poor condition,2-Critical condition,6-Satisfactory condition,4,2,6
Cook,Paulina St over I-290 Ike & Cta at 1.1 mi W IL 1,Structurally deficient,90%,16009800000000,1954,3450,4-Poor condition,7-Good condition,6-Satisfactory condition,4,7,6
Lake,Grand Ave over C&NW RR at 0.3 mi E Sheridan,Structurally deficient,45%,49205000000000,1968,3200,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,Oak Park Ave over I- 80 at 2.5 mi W I-57,Structurally deficient,31%,16092700000000,1967,2950,4-Poor condition,3-Serious condition,6-Satisfactory condition,4,3,6
Kane,Main St over Blackberry Creek at Main St & Ill 47,Structurally deficient,58%,45004900000000,1925,2600,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Lake,Belvidere St over C&NW RR& L.F.F-Way. at Just E O Sheridan Rd,Structurally deficient,80%,49015000000000,1966,2500,4-Poor condition,6-Satisfactory condition,6-Satisfactory condition,4,6,6
DuPage,Struckman Boulevar over W.Branch Dupage Riv at .1 mi E. Bartlett Rd,Structurally deficient,69%,22654600000000,1992,2500,4-Poor condition,4-Poor condition,7-Good condition,4,4,7
Kane,Muirhead Rd. over Canadian National RR at 0.5 M N. of Bowes Rd,Structurally deficient,64%,45313200000000,1989,2400,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,Brookfield Ave over Salt Cr at 0.01 mi N Br RR P20,Structurally deficient,45%,16666500000000,1916,2300,4-Poor condition,4-Poor condition,4-Poor condition,4,4,4
Will,I- 80 EB to Center over Center St SB at I-80 & Center St,Structurally deficient,84%,99007400000000,1966,2200,4-Poor condition,6-Satisfactory condition,6-Satisfactory condition,4,6,6
Lake,Genesee St over Waukegan River at On Gen St S of Water,Structurally deficient,20%,49800000000000,1913,2200,4-Poor condition,3-Serious condition,4-Poor condition,4,3,4
Will,Mink FM Rd over Lily Cache Cr. at 0.1M.N.Caton Farm-Rd,Structurally deficient,47%,99312200000000,1900,2150,4-Poor condition,4-Poor condition,6-Satisfactory condition,4,4,6
Cook,Steger Rd over I- 57 at 2.5 mi S US 30,Structurally deficient,89%,16110800000000,1966,1850,4-Poor condition,6-Satisfactory condition,6-Satisfactory condition,4,6,6
Will,River Rd over I- 80 at 1.0 mi W of I-55,Structurally deficient,62%,99017700000000,1960,1600,4-Poor condition,5-Fair condition,5-Fair condition,4,5,5
